year,state_name,district_name,murder,clpbl_hmcrd_not_amt_murder,hit_and_run,acdnt_other_than_hit_and_run_,deaths_negl_rel_rail_acdnt,deaths_due_med_negnc,deaths_neg_civic_bodies,deaths_other_negnc,dowry_deaths,abetment_of_suicide,atmpt_cmmt_murder,atmpt_cmmt_clpb_hmcrd,atmpt_cmmt_suicide,miscarr_infant_foetic_aband,vlntrly_caus_simple_hurt,vlntrly_caus_dangers_weapons,vlntrly_caus_pub_srvnt_duty,hrt_endgrng_lf_safety,other_simple_hurt,vlntrly_caus_grvus_hurt,grvus_hrt_dangerous_wepn,acid_attack,atmpt_acid_attack,grvus_hrt_pub_srvnt_duty,grvus_hrt_lf_safety,other_grievous_hurt,wrngful_rest_cnfm,assault_on_women,sex_hrrsmt_work_office_prms,sex_hrrsmt_pub_trnsprt_sys,sex_hrrsmt_shelter_homes,sex_hrrsmt_other_places,intnt_disrbe,voyeurism,stalking,missing_child_kidnpd,other_kidnp_abduc,kidnp_abdctn_begging,kidnp_abdctn_murder,kidnapping_for_ransom,kidnp_abdctn_marrg,proc_minor_girls,import_girls_frgn_cntry,other_kidnp_abduc_sec_365_369,human_trafficking,exp_traf_person,sell_minors_prost,buy_minors_prost,rape,atmpt_rape,unnatural_offences,ofnc_agnst_state_sedition,ofnc_agnst_state_other,ofnc_agnst_pub_trnqul,rioting_communal_religious,rioting_sectarian,rioting_industrial,rioting_political,rioting_caste_conflict,rioting_agrarian,rioting_students,rioting_vigilants,rioting_money_dispute,rioting_water_dispute,rioting_land_property_dispute,rioting_family_disputes,rioting_enmity_rivalry,riot_elec_pwr_disp,riot_andolan_morcha,riot_polc_prsnl_gvt_srvnt,other_rioting,prmt_enmty_grps,impt_asrtns_prjudc_intgrtn,affray,auto_motor_vehicle_theft,other_thefts,day_time_burglary,night_burglary,extortion_and_blackmailing,robbery,atmpt_dacoity_robbery,dacoity,dacoity_with_murder,mkng_prprtn_assmbly_cmmttng_dcty,criminal_misappropriation,criminal_breach_of_trust,dsh_hon_rec_deal_stl_prop,counterfeit_coin,cntrfte_govt_stamp,cntrft_seal_mark,cntrft_curr_bank_notes,bank_frauds,atm_fraud,credit_debit_card_fraud,other_frauds,cheating,forgery,ofnc_elections,disbnc_ordr_prmlgtd_pblc_srvnt,harboring_offender,sale_food_drugs,rash_driving_pub_way,csng_hrt_rsh_nglgnt_drvng_pblc_wy,grvus_hrt_rsh_nglgnt_drvng,obstruction_pub_way,sale_obscene_books_objects,obscene_acts_songs_public_places,ofnc_religion,cheating_impersonation,ofnc_mischief,arson,criminal_trespass,crlty_husbnd_relatives,crcl_false_fake_news_rumours,criminal_intimidation,insult_modesty_women,other_ipc_crimes,total_crimes
2017,Andhra Pradesh,Ananthapuramu,113,4,50,503,0,0,0,16,14,63,175,0,21,9,393,1610,11,10,0,7,59,0,0.0,0,0,0,107,196,0,5,58,50,43,5,60,8,17,3,0,4,32,16,0,6,3,0,0,0,43,11,0,0,0,35,4,0,0,3,3,0,0,0.0,0,0,15,19,17,0,5,5,3,5,0,79,176,279,55,219,27,23,1,5,0,0,0,28,0,0,0,0,6,20,26,3,200,137,4,3,16,0,6,1041,864,29,1,0,0,6,4,9,38,198,471,0,139,8,159,8119.0
2017,Andhra Pradesh,Chittoor,70,5,36,461,0,0,0,32,8,24,83,0,6,1,113,490,31,102,0,4,31,0,0.0,11,84,1,38,163,1,0,1,3,0,0,0,0,5,0,0,2,3,2,0,2,0,0,0,0,24,9,0,0,0,5,2,0,2,1,0,0,0,0.0,0,1,16,7,3,0,0,1,12,1,0,30,199,212,21,86,4,6,0,6,0,3,5,11,1,0,0,0,2,2,3,3,3,141,8,0,1,0,0,52,121,150,0,0,5,0,0,4,7,100,212,1,26,12,470,3804.0
2017,Andhra Pradesh,Y.S.R.,88,10,32,437,0,0,0,18,15,143,286,0,16,2,606,949,118,712,0,2,21,0,0.0,10,76,0,124,203,0,1,2,98,82,5,104,11,0,1,2,0,7,15,0,1,4,1,0,0,41,6,0,0,0,85,1,0,0,0,0,0,0,0.0,0,0,16,6,0,0,0,0,10,1,0,325,247,273,59,175,96,19,0,0,0,0,1,78,1,0,0,0,3,3,9,0,20,206,45,1,132,0,0,6636,130,30,10,0,4,0,1,44,68,198,481,0,332,60,447,14502.0
2017,Andhra Pradesh,East Godavari,69,14,138,503,0,0,0,23,10,18,74,0,109,0,112,809,62,6,0,0,20,3,0.0,14,7,0,333,223,0,0,0,136,63,23,62,0,25,0,1,3,4,6,0,5,0,0,0,0,108,12,1,0,0,4,0,0,0,3,0,0,0,0.0,0,0,2,0,3,0,0,0,0,6,0,4,347,613,64,308,33,16,3,2,0,0,1,91,0,0,0,0,4,0,0,0,0,296,33,0,50,0,0,1125,889,380,0,0,17,12,0,25,40,848,601,0,50,127,48,9041.0
2017,Andhra Pradesh,Ananthapuramu,11,0,0,0,0,0,0,4,3,3,7,0,0,0,16,0,3,3,0,0,0,0,0.0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,0,0,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,6,751.0
2017,Andhra Pradesh,Guntur,100,6,62,533,0,0,0,16,14,64,144,0,47,0,112,1432,59,6,0,19,78,0,0.0,0,4,0,9,191,0,0,0,78,15,5,39,2,11,0,0,1,7,69,0,1,0,0,0,0,90,27,1,0,0,6,0,0,0,6,0,0,0,0.0,0,0,10,0,9,0,0,0,18,0,0,3,262,397,54,150,21,19,0,0,0,0,0,24,0,0,0,0,3,0,0,6,12,366,10,0,3,0,16,5135,811,81,1,1,0,0,0,31,38,10,558,0,70,387,729,12489.0
2017,Andhra Pradesh,Guntur,32,9,3,263,0,0,0,0,1,35,45,0,6,0,0,532,22,0,0,0,31,1,0.0,0,0,0,0,87,0,0,0,29,7,7,28,0,51,0,0,0,74,0,0,0,0,0,0,0,38,8,1,0,0,14,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,6,3,0,0,357,437,37,163,59,14,0,2,0,0,0,36,0,0,0,0,1,0,0,0,0,398,0,0,25,0,9,75,534,66,0,1,6,1,0,2,19,93,335,0,186,184,157,4530.0
2017,Andhra Pradesh,Krishna,35,8,35,332,0,0,0,3,14,48,61,0,16,0,0,1467,63,0,0,0,36,0,0.0,0,0,0,0,186,0,0,0,158,44,11,42,0,90,0,0,0,16,0,0,0,0,0,0,0,81,18,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,24,9,0,0,152,285,41,221,33,10,0,0,0,0,0,31,0,0,0,0,5,0,0,0,0,312,0,0,0,0,0,50,631,235,0,0,3,1,0,0,31,0,620,0,0,221,1239,6920.0
2017,Andhra Pradesh,Kurnool,93,22,41,527,0,1,0,28,18,68,219,0,17,6,178,524,79,501,0,3,8,0,0.0,0,0,0,76,246,0,0,1,63,12,0,17,0,9,1,0,0,17,17,0,10,0,4,0,0,34,6,0,0,0,8,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,37,4,0,195,175,314,92,202,22,9,0,3,0,0,0,73,0,0,0,0,6,40,6,3,26,334,6,16,3,0,2,165,961,45,73,0,57,2,2,3,21,148,313,0,90,410,1147,7859.0
2017,Andhra Pradesh,Sri Potti Sriramulu Nellore,67,10,52,423,0,0,0,19,6,38,315,0,12,0,417,962,155,1,1,10,31,1,0.0,1,1,0,57,150,0,0,0,67,39,6,34,0,24,0,0,0,9,1,0,14,2,0,0,0,58,15,0,0,0,17,0,0,0,0,1,0,0,0.0,0,0,7,4,8,0,0,1,27,0,0,16,304,529,85,291,21,34,1,10,0,0,0,91,1,0,0,0,1,7,3,0,48,169,10,0,0,0,0,4648,877,59,0,0,3,0,1,46,27,51,469,1,187,90,317,11460.0
